uid,浏览量,点赞量,观看作者数,观看作品数,观看作品平均时长,观看配乐数,完整观看数,去过的城市数,观看作品城市数
0,34,0,31,34,12.058823529411764,31.0,18,1.0,28.0
1,28,1,28,28,12.357142857142858,26.0,14,1.0,25.0
2,56,0,56,56,10.357142857142858,47.0,19,3.0,45.0
3,117,1,116,117,9.982905982905983,89.0,60,1.0,76.0
4,123,0,117,123,10.853658536585366,94.0,77,1.0,84.0
5,23,0,23,23,13.695652173913043,23.0,19,1.0,22.0
6,63,0,55,63,10.666666666666666,62.0,31,3.0,41.0
7,63,0,61,63,12.11111111111111,56.0,6,3.0,53.0
8,113,0,103,113,10.68141592920354,101.0,48,1.0,63.0
9,8,0,8,8,8.5,8.0,5,1.0,8.0
10,263,1,199,263,11.144486692015208,182.0,75,1.0,87.0
11,22,0,20,22,13.227272727272727,20.0,11,1.0,16.0
12,112,0,111,112,10.267857142857142,105.0,67,1.0,65.0
13,39,0,37,39,10.871794871794872,34.0,19,1.0,32.0
14,107,0,107,107,11.542056074766355,86.0,43,1.0,77.0
15,100,0,98,100,10.9,84.0,44,3.0,73.0
16,41,0,37,41,14.146341463414634,39.0,17,1.0,30.0
17,9,0,9,9,12.222222222222221,9.0,3,1.0,9.0
18,165,1,158,165,11.327272727272728,111.0,31,1.0,25.0
19,18,0,18,18,12.5,17.0,4,1.0,17.0
20,27,0,27,27,9.333333333333334,26.0,20,1.0,22.0
21,29,0,29,29,13.482758620689655,27.0,14,1.0,27.0
22,192,0,184,192,11.927083333333334,155.0,111,1.0,105.0
23,62,0,60,62,9.887096774193548,52.0,16,2.0,46.0
24,29,0,29,29,9.620689655172415,28.0,6,3.0,26.0
25,33,0,33,33,10.121212121212121,30.0,11,1.0,28.0
26,11,0,10,11,10.818181818181818,11.0,6,1.0,9.0
27,44,0,44,44,10.977272727272727,44.0,22,1.0,38.0
28,190,0,180,190,11.41578947368421,166.0,54,2.0,88.0
29,47,0,47,47,10.382978723404255,46.0,12,2.0,40.0
30,51,0,50,51,11.843137254901961,42.0,14,1.0,43.0
31,11,0,11,11,8.909090909090908,10.0,2,1.0,11.0
32,73,0,72,73,10.89041095890411,66.0,44,2.0,53.0
33,45,0,45,45,10.511111111111111,41.0,26,1.0,36.0
34,65,0,64,65,11.338461538461539,60.0,9,1.0,47.0
35,18,0,18,18,13.88888888888889,17.0,11,1.0,16.0
36,19,0,19,19,11.473684210526315,18.0,7,1.0,14.0
37,110,9,107,110,11.072727272727272,93.0,41,1.0,78.0
38,268,0,247,268,10.664179104477611,230.0,67,2.0,80.0
39,53,0,51,53,11.150943396226415,48.0,10,1.0,37.0
40,98,2,97,98,12.112244897959183,83.0,29,1.0,74.0
41,49,0,49,49,10.040816326530612,43.0,9,1.0,39.0
42,96,0,86,96,10.46875,80.0,32,1.0,56.0
43,199,50,196,199,10.899497487437186,170.0,48,3.0,93.0
44,65,0,65,65,10.338461538461539,59.0,28,1.0,48.0
45,28,0,28,28,12.357142857142858,26.0,14,1.0,28.0
46,118,0,116,118,10.254237288135593,94.0,49,1.0,73.0
47,118,0,109,118,11.101694915254237,93.0,44,1.0,67.0
48,182,0,180,182,11.346153846153847,150.0,85,1.0,107.0
49,50,0,49,50,11.42,44.0,6,1.0,36.0
50,7,0,7,7,8.428571428571429,7.0,3,1.0,6.0
51,142,0,118,142,12.316901408450704,121.0,33,1.0,79.0
52,147,0,142,147,11.326530612244898,123.0,19,1.0,80.0
53,450,1,388,450,11.144444444444444,333.0,127,1.0,151.0
54,156,1,150,156,10.692307692307692,125.0,35,1.0,84.0
55,11,0,11,11,12.909090909090908,11.0,3,2.0,11.0
56,34,0,34,34,11.147058823529411,34.0,18,1.0,32.0
57,54,0,47,54,11.24074074074074,52.0,14,1.0,33.0
58,3,0,3,3,13.666666666666666,3.0,3,1.0,3.0
59,226,0,211,226,11.261061946902656,189.0,108,1.0,106.0
60,36,0,36,36,9.944444444444445,35.0,13,1.0,29.0
61,22,0,21,22,11.090909090909092,22.0,8,1.0,18.0
62,62,0,62,62,11.46774193548387,58.0,12,1.0,47.0
63,42,0,41,42,12.452380952380953,39.0,22,1.0,35.0
64,194,0,181,194,11.195876288659793,170.0,59,1.0,100.0
65,187,0,184,187,11.663101604278076,120.0,93,1.0,117.0
66,159,0,158,159,11.28930817610063,122.0,87,1.0,106.0
67,53,0,45,53,10.716981132075471,40.0,33,1.0,19.0
68,120,0,118,120,11.366666666666667,106.0,31,1.0,79.0
69,107,0,94,107,10.80373831775701,93.0,19,1.0,71.0
70,27,0,27,27,11.074074074074074,26.0,9,1.0,24.0
71,70,0,66,70,10.642857142857142,62.0,7,1.0,48.0
72,210,0,189,210,10.91904761904762,175.0,135,1.0,100.0
73,8,0,8,8,11.0,7.0,3,1.0,8.0
74,21,0,21,21,13.19047619047619,19.0,12,1.0,19.0
75,18,0,18,18,10.944444444444445,17.0,1,1.0,17.0
76,1,0,1,1,35.0,1.0,1,1.0,1.0
77,30,0,30,30,9.866666666666667,28.0,6,1.0,28.0
78,134,0,132,134,10.619402985074627,107.0,23,1.0,89.0
79,38,4,38,38,9.81578947368421,38.0,15,2.0,35.0
80,614,1,573,614,11.003257328990228,442.0,71,1.0,178.0
81,15,0,15,15,12.2,15.0,7,2.0,14.0
82,73,0,71,73,12.095890410958905,65.0,34,1.0,55.0
83,30,0,29,30,10.433333333333334,26.0,20,1.0,26.0
84,118,1,107,118,10.957627118644067,92.0,27,1.0,67.0
85,7,0,7,7,10.142857142857142,7.0,4,1.0,7.0
